LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
UmΘ Acupuncture & Integrative Medicine,94 29TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.744171, -122.422276)"
Cafe Seventy8,78 29TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2006,"(37.744171, -122.422276)"
Val 16 Market,3100 16TH ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.76513944, -122.42223293)"
residential,1115 GEARY BLVD,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.785378, -122.422191)"
Walgreens,3398 MISSION ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.742562, -122.422191)"
Safeway,3350 MISSION ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.743213, -122.422190)"
Street Restaurant,2141 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.796487, -122.422173)"
Chase Bank,177 VALENCIA ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.770271, -122.422163)"
Five & Diamond,510 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.764664, -122.422160)"
Mariachi's Taqueria (CLOSED),508 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.764664, -122.422160)"
Abandoned Planet bookstore (out of business),518 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.764497, -122.422144)"
Limon Rotisserie,524 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.764415, -122.422136)"
Thai House 530,530 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.764333, -122.422128)"
Puero Alegre restaurant,546 VALENCIA ST,RACK,SIDEWALK,7,14,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.764138, -122.422109)"
Zeitgeist,199 VALENCIA ST,RACK,SIDEWALK,8,16,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.770028, -122.422098)"
Rock Bar,80 29TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.744141, -122.422072)"
_undetermined,210 FELL ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2005,"(37.776304, -122.422068)"
Advent of Christ the King,261 FELL ST,METER_RING,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.775781, -122.422067)"
Department Seventeen,78 GOUGH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.773435, -122.422066)"
Espetus Churrascaria Brazilian Steak House,1686 MARKET ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.773435, -122.422066)"
Fecal Face Dot Gallery (closed),66 GOUGH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.773428, -122.422063)"
San Francisco Computer Repair,151 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.77115203, -122.42205937)"
Wo Hing General Store,584 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.763612, -122.422059)"
_undetermined,207 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.769620, -122.422059)"
El Toro Taqueria,598 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.763448, -122.422043)"
residential,594 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2006,"(37.763448, -122.422043)"
SF Independent Living Skills Program,225 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.769442, -122.422042)"
SFPD Mission Station,630 VALENCIA ST,RACK,SIDEWALK,6,12,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.762848, -122.422005)"
_undetermined,1640 VAN NESS AVE,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.791006, -122.421999)"
Delessio Market & Bakery,1695 MARKET ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.772551, -122.421932)"
F.S.C Barber,696 VALENCIA ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.761813, -122.421906)"
Amore Animal Supply,696 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.761813, -122.421906)"
Cheese Plus,2001 POLK ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.795230, -122.421832)"
Outfit Generic,746 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.760957, -122.421824)"
Cole Hardware,2254 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.797497, -122.421808)"
Cole Hardware,2254 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.797497, -122.421808)"
Polk & Green Produce Market,2222 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.797497, -122.421808)"
Mission Bicycle Company,766 VALENCIA ST,RACK,SIDEWALK,5,10,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.760649, -122.421795)"
Cha-Ya restaurant,762 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.760753, -122.421787)"
Four Barrel Coffee,375 VALENCIA ST,RACK,SIDEWALK,4,8,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,private (publicly accessible),2011,"(37.767017, -122.421772)"
Nooworks,395 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.76681106, -122.42175253)"
Bridges Architecture,1686 15TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.76681106, -122.42175253)"
Les Cent Culottes?,2208 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.797161, -122.421736)"
Hotel Royan,405 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.766409, -122.421714)"
Pica PicaáMaizeáKitchen,401 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.766409, -122.421714)"
The Fog Building,333 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.767685, -122.421690)"
The Fog Building,333 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.76768496, -122.42169002)"
_undetermined,826 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.759550, -122.421689)"
High Trails Cyclery,1825 POLK ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.793836, -122.421649)"
Radio Shack,1841 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.793836, -122.421649)"
Crave,2164 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.796791, -122.421644)"
Studio Valencia,455 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.765650, -122.421641)"
Samasource,455 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.765650, -122.421641)"
Peets Coffee Shop,866 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.758982, -122.421635)"
Zuni Café,1658 MARKET ST,RACK,SIDEWALK,3,6,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.77359976, -122.42160815)"
Zuni Café,1658 MARKET ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.77359976, -122.42160815)"
Ruby,3602 20TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.75870599, -122.42160813)"
Forest Books,3080 16TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.765176, -122.421596)"
"Pilates on Page, Pop!",40 PAGE ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.774451, -122.421596)"
nojo restaurant,231 FRANKLIN ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.776796, -122.421586)"
Maneframe,1813 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.793576, -122.421585)"
_undetermined,1414 VAN NESS AVE,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.788846, -122.421555)"
Juinipero Serra Annex CC,155 APPLETON AVE,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.738777, -122.421528)"
Dog Eared Books,900 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.75825474, -122.42152025)"
Freewheel,914 VALENCIA ST,RACK,PARKING_LANE,6,12,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.758252, -122.421519)"
Walgreens,2120 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.796372, -122.421510)"
Electronic Frontier Foundation,815 EDDY ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.782545, -122.421505)"
Curtis Hotel,559 VALENCIA ST,RACK,SIDEWALK,6,12,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.764010, -122.421505)"
Molte Cose,2040 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.795678, -122.421498)"
_undetermined,938 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.757914, -122.421498)"
Junipero Serra Elementary School,625 HOLLY PARK CIR,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.73691009, -122.42148873)"
Vanilla Saffron Imports,980 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.757265, -122.421488)"
Weston Wear,571 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.763818, -122.421486)"
Thanh Tam II restaurant,577 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2005,"(37.763688, -122.421474)"
_undetermined,962 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2006,"(37.757498, -122.421466)"
The Cinch bar,1723 POLK ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.792734, -122.421460)"
Miller's East Coast Deli,1725 POLK ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.792734, -122.421460)"
Little Tree Studios,3316 22ND ST,RACK,PARKING_LANE,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.755476, -122.421451)"
NatÆl Holistic Institute campus,1665 MARKET ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.772963, -122.421433)"
Dogpatch Biofuels,992 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.757040, -122.421431)"
PUBLIC Bikes,599 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.763536, -122.421399)"
T-Mobile store,601 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.763092, -122.421395)"
Good Vibrations,603 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.763092, -122.421395)"
"Crepe House, The",1755 POLK ST,RACK,PARKING_LANE,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.793038, -122.421381)"
"Crepe House, The",1749 POLK ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.793038, -122.421381)"
Cole Hardware,3312 MISSION ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.743793, -122.421374)"
Cole Hardware,3312 MISSION ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.743793, -122.421374)"
_undetermined,1026 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.756417, -122.421372)"
Cafe Altano,1026 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.756417, -122.421372)"
_undetermined,1034 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2005,"(37.756345, -122.421365)"
Lost Weekend Video,1032 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2005,"(37.756345, -122.421365)"
Community Thrift Store,623 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2006,"(37.762781, -122.421365)"
Mau Restaurant,665 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.762230, -122.421347)"
Cafe Seventy8,78 29TH ST,RACK,PARKING_LANE,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.74427406, -122.42134368)"
Live Fit Gym,675 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2012,"(37.762037, -122.421334)"
Al Harmi Indian and Pakistani Restaurant,3083 16TH ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.764682, -122.421328)"
Al Harmi Indian and Pakistani Restaurant,3083 16TH ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.764682, -122.421328)"
The Marsh,1062 VALENCIA ST,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.755789, -122.421303)"
Emmy's Spaghetti Shack,18 VIRGINIA AVE,RACK,SIDEWALK,0,0,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.742919, -122.421280)"
San Francisco Community College District,33 GOUGH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.772055, -122.421271)"
Bell Tower,1900 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.794339, -122.421240)"
Lucca Raviola,1100 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.755171, -122.421210)"
Apt/Unknown,1128 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.754682, -122.421200)"
_undetermined,1132 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.754682, -122.421200)"
B^3 Artisan Wine Burgers,1152 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.754467, -122.421195)"
multiple,1285 SUTTER ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,contractor,2013,"(37.787353, -122.421189)"
multiple,1285 SUTTER ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,contractor,2013,"(37.787353, -122.421189)"
multiple,777 VALENCIA ST,RACK,SIDEWALK,9,18,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,unknown,"(37.760565, -122.421188)"
John McLaren CDC (PreK & SA),2055 SUNNYDALE AVE,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.712404, -122.421173)"
Valencia Eyewear,3491 19TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.759948, -122.421129)"
Art Mart Store,803 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.759948, -122.421129)"
Royal Grounds Coffee,1605 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.791658, -122.421120)"
Louie Hair Salon,4 BRADY ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.773213, -122.421117)"
_undetermined,1651 MARKET ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2006,"(37.773213, -122.421117)"
_undetermined,819 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2005,"(37.759764, -122.421111)"
Pancho Villa Tacqueria,3071 16TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2006,"(37.764696, -122.421082)"
Quetzalcoatz Tattoo,3409 23RD ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.753485, -122.421073)"
Amnesia,853 VALENCIA ST,RACK,SIDEWALK,2,4,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2013,"(37.759319, -122.421068)"
_undetermined,1541 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.791083, -122.421055)"
Yoga Tree,1234 VALENCIA ST,RACK,PARKING_LANE,5,10,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.753105, -122.421046)"
Cut Loose,1218 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.753346, -122.421041)"
Core Pilates,3388 17TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.763577, -122.421036)"
Heart Wine Bar / Arizmendi,1270 VALENCIA ST,RACK,PARKING_LANE,6,12,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2011,"(37.752546, -122.421014)"
Nara Sushi,1515 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.790828, -122.420969)"
multiple,44 GOUGH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.772712, -122.420966)"
La Rondalla Restaurant,901 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.758351, -122.420958)"
Papalote Mexican Grill,3409 24TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.751940, -122.420943)"
Papalote,3409 24TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2002,"(37.751940, -122.420943)"
Papalote,3409 24TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2004,"(37.751940, -122.420943)"
Papalote's Restaurant,3409 24TH ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.751940, -122.420943)"
Muddy Waters coffee shop,1304 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2000,"(37.751851, -122.420935)"
La Parilla Grill Restaurant,1760 POLK ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2010,"(37.793124, -122.420907)"
_undetermined,955 VALENCIA ST,RACK,SIDEWALK,1,2,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION,SFMTA,2003,"(37.757654, -122.420892)"
